FCN,Offense,Analyst,Sufficiency,Anatomical source,AFIS system,AFIS Result,Verified by
FCN: 2014-25069,Burglary Habitation Night,Starla,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
FCN: 2014-25168,Burglary Habitation Night,Cassaundra,AQ,FP,MorphoTrack,No Hit,
FCN: 2014-25305,Burglary Habitation Night,Cassaundra,AQ,FP,MorphoTrack,No Hit,
FCN: 2014-25326,Burglary Habitation Night,Starla,AQ,FP,MorphoTrack,No Hit,
FCN: 2014-25544,Robbery Miscellaneous,Brenda,AQ,FP,NGI,Reverse,
,,,AQ,FP,NGI,Reverse,
FCN: 2015-00208,Burglary Building Night,Vickie,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2015-00444,Burglary Habitation Night,Vickie,,,,,
FCN: 2015-00576,Burglary Habitation Night,Rodney,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-00637,Burglary Habitation Night,Rodney,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2015-00646,Burglary Building Night,Rodney,,,,,
FCN: 2015-00650,Robbery Miscellaneous,Gail,AQ,FP,NGI,Reverse,
FCN: 2015-00658,Burglary Habitation Night,Rodney,,,,,
FCN: 2015-00680,Burglary Habitation Night,Rodney,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-00846,Burglary Habitation Night,DJ,AQ,FP,MorphoTrack,No Hit,
,,,NAQ,FP,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NAQ,FP,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NAQ,FP,,,
,,,NAQ,FP,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,JNT,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NAQ,FP,,,
,,,NV,,,,
FCN: 2015-00847,Burglary Habitation Night,DJ,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,NRD,,,,
,,,NV,,,,
FCN: 2015-01018,Burglary Habitation Night,DJ,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-01053,Burglary Habitation Day,Sandy,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,IMP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2015-01188,Burglary Habitation Night,David,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,,,
FCN: 2015-01296,Burglary Habitation Night,David,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-01415,Burglary Habitation Day,Vickie,,,,,
FCN: 2015-02305,Robbery Miscellaneous,Gail,AQ,PP,NGI,Reverse,
FCN: 2015-02320,Burglary Habitation Night,David,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2015-02665,Burglary Habitation Night,Tracy,AQ,PP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,PAA,
,,Tracy,,,,,
FCN: 2015-02765,,Tracy,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
FCN: 2015-02850,Burglary Habitation Night,Tracy,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
FCN: 2015-02971,Burglary Habitation Night,Stacie,AQ,FP,MorphoTrack,PAA,
FCN: 2015-03001,Burglary Habitation Night,Stacie,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-03002,Burglary Habitation Night,Tracy,NV,,,,
FCN: 2015-03070,Robbery Miscellaneous,David,AQ,PP,NGI,Reverse,
,,DJ,AQ,PP,NGI,Reverse,
FCN: 2015-03542,Investigation - Burglary/Theft Propr,Starla,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2015-03582,Burglary Building Time Unknown,Tracy,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-03626,Burglary Habitation Night,Starla,AQ,FP,MorphoTrack,Reverse,
FCN: 2015-03628,Burglary Habitation Night,Starla,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-03660,Burglary Habitation Night,Starla,NV,,,,
,,,NV,,,,
,,,NRD,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-03830,Murder,Sandy,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2015-04248,Burglary Habitation Night,Maranda,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-04268,Burglary Habitation Night,Maranda,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
FCN: 2015-04401,Burglary Habitation Night,Maranda,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-04525,Burglary Habitation Day,Stacie,,,,,
FCN: 2015-04600,Burglary Habitation Night,Vickie,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NRD,,,,
FCN: 2015-04630,Burglary Habitation Day,Vickie,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-04835,Class A Assault (FV) Or (GC),DJ,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
FCN: 2015-05506,Murder,Sandy,AQ,FP,NGI,PAA,
FCN: 2015-06000,Burglary Building Time Unknown,Becky,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,Becky,,,,,
FCN: 2015-06077,Investigation - Burglary and Theft (B&T),Starla,NV,,,,
,,,NAQ,FP,,,
,,,NV,,,,
,,,NAQ,FP,,,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
FCN: 2015-06078,Burglary Habitation Night,Becky,,,,,
FCN: 2015-06199,Robbery Miscellaneous,David,AQ,FP,NGI,Reverse,
FCN: 2015-06391,Burglary Building Time Unknown,Starla,NAQ,PP,,,
FCN: 2015-06722,Burglary Building Time Unknown,Becky,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
FCN: 2015-06741,Burglary Habitation Night,Rodney,,,,,
FCN: 2015-06742,Burglary Habitation Night,Rodney,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NRD,,,,
,,,NRD,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-07094,Burglary Habitation Night,DJ,AQ,FP,MorphoTrack,PAA,
FCN: 2015-07348,Burglary Building Time Unknown,Becky,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2015-08010,Burglary Building Night,Vickie,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
FCN: 2015-08572,Investigation - Burglary and Theft (B&T),Starla,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2015-08635,Burglary Building Time Unknown,Becky,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,JNT,MorphoTrack,No Hit,
FCN: 2015-08694,Investigation - Burglary/Theft Propr,Starla,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2015-09353,Burglary Building Time Unknown,Stacie,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2015-09661,Burglary Building Time Unknown,Vickie,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-09677,Burglary Building Time Unknown,Vickie,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
FCN: 2015-09696,Burglary Building Day,Vickie,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-09711,Burglary Building Time Unknown,Vickie,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
FCN: 2015-09830,Burglary Habitation Night,Becky,AQ,PP,MorphoTrack,Reverse,
FCN: 2015-09938,Burglary Building Time Unknown,Vickie,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
FCN: 2015-10069,Burglary Building Day,Vickie,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2015-10270,Burglary Building Time Unknown,Vickie,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2015-10285,Burglary Building Time Unknown,Vickie,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
FCN: 2015-10560,Robbery Miscellaneous,Sandy,AQ,FP,NGI,Reverse,
FCN: 2015-10599,Burglary Building Time Unknown,Vickie,NV,,,,
,,,NAQ,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-10650,Burglary Building Time Unknown,Vickie,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,PAA,
FCN: 2015-10780,Rape (Sexual Assault),Sandy,AQ,FP,NGI,Reverse,
,,,AQ,FP,NGI,Reverse,
FCN: 2015-10793,Burglary Habitation Night,DJ,,,,,
FCN: 2015-11125,Burglary Habitation Night,Maranda,,PP,MorphoTrack,PAA,
,,Maranda,,,,,
FCN: 2015-11574,Burglary Habitation Night,Rodney,,,,,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,,,
FCN: 2015-11707,Burglary Building Night,Starla,NV,,,,
FCN: 2015-11961,Investigation - Burglary/Theft Propr,Starla,NV,,,,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,PAA,
FCN: 2015-12589,Burglary Building Day,Becky,,,,,
FCN: 2015-13128,Robbery Miscellaneous,David,NV,,,,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,,PP,MorphoTrack,No Hit,
,,,,PP,MorphoTrack,No Hit,
,,,NRD,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
FCN: 2015-13270,Burglary Habitation Night,Adam,,,,,
FCN: 2015-13784,Robbery Miscellaneous,Becky,,,,,
FCN: 2015-13921,Officer Firearm Discharge,David,AQ,FP,NGI,Reverse,
,,DJ,AQ,FP,NGI,Reverse,
,,,AQ,FP,NGI,Reverse,
,,,AQ,FP,NGI,Reverse,
FCN: 2015-14166,Burglary Habitation Night,Becky,,,,,
FCN: 2015-14419,Burglary Building Time Unknown,Stacie,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
FCN: 2015-14430,Aggravated Robbery (Deadly Weapon),Becky,AQ,FP,NGI,Reverse,
FCN: 2015-14799,Criminal Mischief - Miscellaneous (Except Listed),Gail,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,IMP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
FCN: 2015-14834,Burglary Building Time Unknown,Stacie,NV,,,,
FCN: 2015-14987,Burglary Habitation Night,Gail,,,,,
FCN: 2015-14997,Burglary Building Day,Jeniffer,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
FCN: 2015-15283,Burglary Building Day,Jeniffer,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,IMP,MorphoTrack,No Hit,
,,,,,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
FCN: 2015-15452,Burglary Building Time Unknown,Jeniffer,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,No Hit,
FCN: 2015-15485,Burglary Building Day,Gail,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-16390,Investigation Homicide,Jeniffer,AQ,PP,NGI,Reverse,
FCN: 2015-17024,Investigation - Burglary and Theft (B&T),Cassaundra,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
FCN: 2015-17171,Capital Murder By Knife Or Cutting Instrument,Becky,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,PAA,
FCN: 2015-17495,Murder,Sandy,AQ,FP,NGI,Reverse,
FCN: 2015-17605,Robbery Miscellaneous,Becky,AQ,FP,NGI,Reverse,
FCN: 2016-00604,Burglary Building Night,Jeniffer,AQ,FP,MorphoTrack,No Hit,
FCN: 2016-00725,Murder,DJ,AQ,FP,NGI,Reverse,
FCN: 2016-00992,Robbery Miscellaneous,Gail,AQ,FP,NGI,Reverse,
FCN: 2016-01085,Murder,Brenda,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,FP,NEC,,
,,,,FP,NEC,,
,,,,FP,NEC,No Hit,
,,,,FP,NGI,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,FP,NEC,,
,,,,FP,NEC,,
,,,,FP,NEC,No Hit,
,,,,FP,NGI,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,FP,NEC,No Hit,
,,,,FP,NGI,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,FP,NEC,No Hit,
,,,,FP,NGI,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,FP,NEC,No Hit,
,,,,FP,NGI,No Hit,
,,Brenda,,,,,
FCN: 2016-02221,Burglary Habitation Night,Rodney,,,,,
FCN: 2016-02312,Robbery Miscellaneous,Becky,AQ,FP,NGI,Reverse,
FCN: 2016-02465,Investigation - Burglary/Theft Propr,Starla,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
FCN: 2016-02919,Burglary Habitation Day,Rodney,,,,,
FCN: 2016-03139,Burglary Building Night,Jeniffer,AQ,FP,MorphoTrack,No Hit,
FCN: 2016-03451,Burglary Building Time Unknown,Adam,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,Adam,AQ,FP,MorphoTrack,No Hit,
FCN: 2016-03538,Burglary Habitation Night,DJ,,,,,
FCN: 2016-03788,Robbery,DJ,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,NEC,No Hit,
,,,AQ,FP,NGI,PAA,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,NEC,No Hit,
,,,AQ,FP,NGI,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,NEC,No Hit,
,,,AQ,FP,NGI,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,NEC,No Hit,
,,,AQ,FP,NGI,No Hit,
,,,NV,,,,
,,,NAQ,FP,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,NEC,No Hit,
,,,AQ,FP,NGI,No Hit,
,,,NV,,,,
,,,NAQ,FP,,,
,,,NV,,,,
,,DJ,,,,,
FCN: 2016-03938,Burglary Habitation Night,DJ,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
FCN: 2016-04762,Investigation Homicide,Becky,AQ,FP,NGI,Reverse,
FCN: 2016-06965,Burglary Building Day,Stacie,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2016-06976,Burglary Building Day,Stacie,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
FCN: 2016-06977,Burglary Building Day,Brenda,AQ,PP,MorphoTrack,No Hit,
FCN: 2016-06978,Burglary Building Day,Stacie,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
FCN: 2016-06979,Burglary Building Day,Stacie,AQ,PP,MorphoTrack,No Hit,
FCN: 2016-06981,Burglary Building Day,Stacie,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
FCN: 2016-06983,Burglary Building Day,Brenda,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
FCN: 2016-06989,Burglary Building Day,Vickie,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2016-06993,Burglary Building Day,Vickie,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,No Hit,
,,Vickie,,,,,
FCN: 2016-06994,Burglary Building Day,Vickie,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2016-06997,Burglary Building Day,Vickie,NV,,,,
